Var1,name,gp,min,pts,fgm,fga,fg,x3p_made,x3pa,x3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,target_5yrs
14,Elmore Spencer,44,6.4,2.4,1,1.9,53.7,0,0,0,0.4,0.7,50,0.4,1,1.4,0.2,0.2,0.4,0.6,yes
15,John Crotty,40,6.1,2.6,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1,68.4,0.1,0.3,0.4,1.4,0.3,0,0.8,yes
16,Stephen Howard,49,5.3,2.1,0.7,1.9,37.6,0,0,0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,no
17,Randy Woods,41,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1,0.3,0,0.4,no
18,Larry Johnson,82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,no
19,Larry Johnson,82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,yes
20,Billy Owens,80,31.4,14.3,5.9,11.1,52.5,0,0.1,11.1,2.6,3.9,65.4,3,5,8,2.4,1.1,0.8,2.2,yes
21,Stacey Augmon,82,30.5,13.3,5.4,11,48.9,0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,yes
22,Mark Macon,76,30.3,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73,1.1,1.8,2.9,2.2,2,0.2,2,yes
23,Steven Smith,61,29.6,12,4.9,10.7,45.4,0.7,2,32,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1,0.3,2.5,no
24,Mitch McGary,32,15.2,6.3,2.8,5.2,53.3,0,0.1,0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1,no
25,Larry Stewart,76,29.3,10.4,4,7.8,51.4,0,0,0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,yes
26,Mike Iuzzolino,52,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0,1.8,no
27,Doug Smith,76,22.5,8.8,3.8,9.2,41.5,0,0.1,0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,yes
28,Paul Graham,78,22,10.1,3.9,8.7,44.7,0.7,1.8,39,1.6,2.2,74.1,0.9,2,3,2.2,1.2,0.3,1.2,no
29,Donald Hodge,51,20.7,8.4,3.2,6.4,49.7,0,0,0,2,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,yes
30,Dale Davis,64,20.3,6.2,2.4,4.4,55.2,0,0,0,1.4,2.4,57.2,2.5,3.9,6.4,0.5,0.4,1.2,0.8,yes
31,Stanley Roberts,55,20.3,10.4,4.3,8.1,52.9,0,0,0,1.8,3.6,51.5,2.1,4.1,6.1,0.7,0.4,1.5,1.4,yes
32,Terrell Brandon,82,19.6,7.4,3.1,7.3,41.9,0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2,3.9,1,0.3,1.7,yes
33,Bison Dele,48,18.9,9.1,3.6,6.8,52.8,0,0,0,2,3,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,yes
34,Spencer Dinwiddie,34,13.4,4.3,1.5,5,30.2,0.4,1.9,18.5,0.9,1,91.2,0.1,1.3,1.4,3.1,0.6,0.2,1,no
35,Tracy Moore,42,18.6,8.5,3.1,7.7,40,0.7,2,35.7,1.5,1.9,83.3,0.7,1.2,2,1.1,0.8,0.1,1.1,yes
36,Greg Anthony,82,18.4,5.5,2,5.3,37,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,3.8,0.7,0.1,1.2,yes
37,Kenny Anderson,64,17,7,2.9,7.5,39,0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,2,3.2,1.1,0.1,1.5,yes
38,Victor Alexander,80,16.9,7.4,3,5.7,52.9,0,0,0,1.3,1.9,69.1,1.3,2.9,4.2,0.4,0.6,0.8,1.1,yes
39,David Benoit,77,15.1,5.6,2.3,4.9,46.7,0,0.2,21.4,1.1,1.3,81,1.4,2.5,3.8,0.4,0.3,0.6,0.9,yes
40,Kevin Lynch,55,14.9,4.1,1.7,4.1,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1,1.5,1.5,0.7,0.2,0.8,no
41,LaBradford Smith,48,14.8,5.1,2.1,5.1,40.7,0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,1.7,2.1,0.9,0,1.3,no
42,Chris Corchiani,51,14.5,5,1.5,3.8,39.9,0.2,0.7,27,1.8,2,87.5,0.4,1.2,1.5,2.8,0.9,0,1.4,no
43,Travis Wear,51,13.2,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.8,0.3,0.2,0.7,no
44,Robert Pack,72,12.4,4.6,1.6,3.8,42.3,0,0.1,0,1.4,1.8,80.3,0.4,0.9,1.3,1.9,0.6,0.1,1.3,yes
45,Pete Chilcutt,69,11.8,3.6,1.6,3.6,45.2,0,0,100,0.3,0.4,82.1,1.1,1.6,2.7,0.6,0.5,0.3,0.6,yes
46,Chris Gatling,54,11.3,5.7,2.2,3.8,56.8,0,0.1,0,1.3,2,66.1,1.4,2,3.4,0.3,0.6,0.7,0.8,yes
47,Tharon Mayes,24,10.6,4.1,1.3,4.1,30.3,0.6,1.7,36.6,1,1.5,66.7,0.1,0.5,0.7,1.5,0.7,0.1,1.3,no
48,Eric Murdock,50,9.6,4.1,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,1.8,0.6,0.1,1,yes
49,Randy Brown,56,9.6,3.4,1.4,3,45.6,0,0.1,0,0.7,1,65.5,0.5,0.8,1.2,1.1,0.6,0.2,0.8,yes
50,Greg Sutton,67,9,3.7,1.4,3.6,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0.7,1.4,0.4,0.1,1,no
51,Elliot Perry,50,8.7,2.5,1,2.6,38,0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1,yes
53,Rodney Monroe,38,8.2,3.4,1.4,3.8,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0.9,0.7,0.3,0.1,0.6,no
54,John Turner,42,8.2,2.8,1,2.3,43.9,0,0,0,0.7,1.4,52.5,0.9,1,1.9,0.3,0.1,0.1,0.8,no
55,Mark Randall,54,8.2,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,no
56,Sean Green,35,7.3,4,1.8,4.5,39.2,0.1,0.3,20,0.4,0.8,53.6,0.6,0.6,1.2,0.6,0.4,0.2,0.8,no
57,Kevin Brooks,37,7.3,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81,0.4,0.7,1.1,0.3,0.2,0.1,0.5,no
58,Doug Lee,-1,6.7,2.6,1.1,2.5,43.1,0.2,0.8,27,0.2,0.4,52.6,0.4,0.4,0.8,0.5,0.2,0,0.3,no
59,Corey Crowder,51,6.4,2.2,0.8,2.2,38.4,0.3,0.6,43.3,0.3,0.4,83.3,0.3,0.5,0.8,0.3,0.1,0,0.3,no
60,Rich King,40,5.3,2.2,0.7,1.8,38,0,0,0,0.9,1.1,75.6,0.5,0.7,1.2,0.3,0.1,0.1,0.5,no
61,Stephen Thompson,19,4.8,1.6,0.7,1.9,37.8,0,0.1,0,0.2,0.4,37.5,0.6,0.4,1,0.4,0.3,0.2,0.3,no
62,Charles Thomas,36,4.3,1.3,0.5,1.4,35.3,0.1,0.5,11.8,0.3,0.4,66.7,0.2,0.4,0.6,0.6,0.1,0,0.5,no
63,Lionel Simmons,79,37.7,18,6.9,16.5,42.2,0,0.1,27.3,4.1,5.5,73.6,2.4,6.4,8.8,4,1.4,1.1,2.9,yes
64,Gary Harris,55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,no
65,Derrick Coleman,74,35.2,18.4,6.9,14.9,46.7,0.2,0.5,34.2,4.4,6,73.1,3.6,6.6,10.3,2.2,1,1.3,2.9,yes
66,Travis Mays,64,33.5,14.3,4.6,11.3,40.6,1.1,3.1,36.5,4,5.2,77,0.8,1.9,2.8,4,1.3,0.2,2.5,no
67,Dennis Scott,82,28.5,15.7,6.1,14.4,42.5,1.5,4.1,37.4,1.9,2.5,75,0.8,2.1,2.9,1.6,0.8,0.3,1.6,yes
68,Gary Payton*,82,27.4,7.2,3.2,7,45,0,0.2,7.7,0.8,1.2,71.1,1.3,1.6,3,6.4,2,0.2,2.2,yes
69,Felton Spencer,81,25.9,7.1,2.4,4.7,51.2,0,0,0,2.2,3.1,72.2,3.4,4.6,7.9,0.3,0.6,1.5,0.9,yes
70,Willie Burton,76,25.4,12,4.5,10.2,44.1,0.1,0.4,13.3,3,3.9,78.2,1.5,2,3.4,1.4,0.9,0.3,1.9,yes
71,Dee Brown,82,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1,0.2,1.7,no
72,Dee Brown,82,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1,0.2,1.7,yes
73,Dee Brown,49,9.2,1.9,0.7,2,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,no
74,Dee Brown,49,9.2,1.9,0.7,2,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,yes
75,Kendall Gill,82,23.7,11,4.6,10.2,45,0,0.2,14.3,1.9,2.2,83.5,1.3,1.9,3.2,3.7,1.3,0.5,2,yes
77,Mahmoud Abdul-Rauf,67,22.5,14.1,6.2,15.1,41.3,0.4,1.5,24,1.3,1.5,85.7,0.5,1.3,1.8,3.1,0.8,0.1,1.6,yes
78,A.J. English,70,20.6,8.8,3.6,8.2,43.9,0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,2.1,2.5,0.4,0.2,1.6,no
79,Danny Ferry,81,20.5,8.6,3.4,7.9,42.8,0.3,1,29.9,1.5,1.9,81.6,1.2,2.3,3.5,1.8,0.5,0.3,1.5,yes
80,Mario Elie,33,19.5,7.2,2.4,4.8,49.7,0.1,0.3,40,2.3,2.7,84.3,1.4,1.9,3.3,1.4,0.6,0.3,0.9,yes
81,Anthony Cook,58,19.3,5.3,2,4.9,41.7,0,0.1,0,1.2,2.2,55,2.3,3.3,5.6,0.4,0.6,1.2,0.9,no
82,Gerald Paddio,70,16.9,7.2,3,7.2,41.9,0.1,0.3,25,1.1,1.3,79.6,0.5,1.1,1.7,1.3,0.3,0.1,1,no
83,Bimbo Coles,82,16.5,4.9,2,4.8,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1.9,2.8,0.8,0.1,1.2,yes
84,Bo Kimble,62,16.2,6.9,2.6,6.7,38,0.3,1,29.2,1.5,1.9,77.3,0.7,1.2,1.9,1.2,0.5,0.1,1.2,no
85,Alec Kessler,78,16.1,6.2,2.6,6,42.5,0,0.1,0,1.1,1.7,67.2,1.5,2.8,4.3,0.4,0.2,0.3,1.4,no
86,Loy Vaught,73,16.1,5.5,2.4,4.9,48.7,0,0,0,0.7,1,66.2,1.7,3.1,4.8,0.5,0.3,0.3,0.7,yes
87,Tyrone Hill,74,16.1,5.3,2,4,49.2,0,0,0,1.3,2.1,63.2,2.1,3.1,5.2,0.3,0.5,0.4,1,yes
88,Marcus Liberty,76,15.4,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63,1.5,1.4,2.9,0.8,0.6,0.3,0.9,no
89,Terry Mills,-1,14.9,5.7,2.4,5.2,46.5,0,0.1,0,0.9,1.2,71.2,1.5,2.7,4.2,0.6,0.6,0.5,0.8,yes
90,Jamal Robinson,47,14.3,5.6,2.3,5.1,44.6,0,0.2,18.2,1,1.7,58.8,0.4,1.1,1.5,2.8,0.7,0.2,1.6,no
91,Henry James,37,13.6,8.1,3,6.9,44.1,0.6,1.6,40,1.4,1.9,72.2,0.7,1.4,2.1,0.9,0.4,0.1,1,yes
92,Jerrod Mustaf,62,13.3,4.3,1.7,3.7,46.5,0,0,0,0.9,1.4,64.4,0.8,1.9,2.7,0.6,0.2,0.2,1,no
93,Kevin Pritchard,62,12.5,3.9,1.4,3.7,38.4,0.1,0.5,16.1,1,1.2,80.5,0.3,0.8,1,1.3,0.5,0.1,0.9,no
94,Gerald Glass,51,11.9,6.9,2.9,6.7,43.8,0,0.3,11.8,1,1.5,68.4,1.1,0.9,2,0.8,0.6,0.2,0.8,no
95,Larry Robinson,36,11.8,3.9,1.7,4.2,41.3,0,0,0,0.4,0.8,55.6,0.8,0.6,1.4,1,0.4,0,0.8,yes
96,Jud Buechler,74,11.6,3.1,1.3,3.1,41.6,0,0.1,25,0.6,0.9,65.2,0.8,1.1,1.9,0.7,0.5,0.2,0.3,yes
97,Cedric Ceballos,63,11.6,8.2,3.2,6.7,48.7,0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,2.4,0.6,0.3,0.1,1.1,yes
98,Kyle Anderson,33,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2,2.2,0.8,0.5,0.2,0.3,no
99,Greg Foster,54,11.2,4.4,1.8,3.9,46,0,0.1,0,0.8,1.1,68.9,1,1.8,2.8,0.7,0.2,0.4,0.8,yes
101,Howard Wright,15,10.9,3.6,1.3,3.1,40.4,0,0.1,0,1.1,1.6,66.7,0.8,2.2,3,0.2,0.3,0.3,0.7,no
102,Tony Smith,64,10.9,3.7,1.5,3.4,44.1,0,0.1,0,0.6,0.9,70.2,0.4,0.7,1.1,2.1,0.4,0.2,1.1,yes
103,Tate George,56,10.6,3.4,1.4,3.4,41.5,0,0,0,0.6,0.7,80,0.3,0.5,0.8,1.9,0.5,0.1,0.8,no
104,Rick Calloway,64,10.6,3.2,1.2,3,39.1,0,0,0,0.9,1.2,69.6,0.4,0.8,1.2,1,0.3,0.1,0.8,no
105,Steve Henson,68,10.1,3.1,1.2,2.8,41.8,0.3,0.8,33.3,0.6,0.6,90.5,0.2,0.5,0.8,1.9,0.5,0,0.6,yes
106,Andy Toolson,47,10,2.9,1.1,2.6,40.3,0.3,0.7,37.5,0.5,0.7,75.8,0.7,0.7,1.4,0.7,0.3,0,0.5,no
107,Jayson Williams,52,9.8,3.5,1.4,3.1,44.7,0,0,50,0.7,1.1,66.1,0.8,1.3,2.1,0.3,0.2,0.1,0.8,yes
108,Kennard Winchester,64,9.5,3.7,1.5,3.8,40,0.1,0.3,40,0.5,0.7,77.8,0.5,0.5,1,0.4,0.3,0.2,0.5,no
109,Johnny O'Bryant,34,10.8,2.9,1.3,3.5,36.7,0,0,0,0.4,0.8,44.4,0.8,1.1,1.9,0.5,0.1,0.1,0.7,no
110,Dwayne Schintzius,42,9.5,3.8,1.6,3.7,43.9,0,0,0,0.5,1,55,0.7,2.2,2.9,0.4,0.1,0.7,0.8,yes
111,Sean Higgins,50,9.3,4.5,1.9,4.2,45.8,0.1,0.4,15.8,0.6,0.7,84.8,0.4,0.9,1.3,0.7,0.2,0,1,yes
112,Elden Campbell,52,7.3,2.8,1.1,2.4,45.5,0,0,0,0.6,0.9,65.3,0.8,1.1,1.8,0.2,0.2,0.7,0.3,yes
113,Kenny Williams,75,7,2.9,1.2,2.4,52,0,0,0,0.5,0.7,68,0.7,1,1.7,0.4,0.1,0.4,0.6,no
114,Keith Askins,39,6.8,2.2,0.9,2.1,42,0.2,0.6,24,0.3,0.6,48,0.8,1,1.7,0.5,0.4,0.3,0.3,yes
115,Scott Williams,51,6.6,2.5,1,2,51,0,0,50,0.4,0.5,71.4,0.8,1.1,1.9,0.3,0.2,0.3,0.5,yes
116,Richard Coffey,52,6.2,1.3,0.5,1.4,37.3,0,0,0,0.2,0.4,54.5,0.8,0.7,1.5,0.1,0.1,0.1,0.1,no
117,Steve Scheffler,39,5.8,1.5,0.5,1,51.3,0,0,0,0.5,0.5,90.5,0.5,0.6,1.2,0.2,0.1,0.1,0.1,yes
118,David Robinson*,82,36.6,24.3,8.4,15.9,53.1,0,0,0,7.5,10.2,73.2,3.7,8.3,12,2,1.7,3.9,3.1,yes
119,James Young,31,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.3,0.1,0.2,no
120,Tim Hardaway,79,33.7,14.7,5.9,12.5,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,3.9,8.7,2.1,0.1,3.3,no
121,Tim Hardaway,79,33.7,14.7,5.9,12.5,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,3.9,8.7,2.1,0.1,3.3,yes
122,J.R. Reid,82,33.6,11.1,4.4,9.9,44,0,0.1,0,2.3,3.5,66.4,2.4,6,8.4,1.2,1.1,0.7,2.1,yes
123,Pooh Richardson,82,31.5,11.4,5.2,11.3,46.1,0.3,1,27.7,0.8,1.3,58.9,0.7,2,2.6,6.8,1.6,0.3,1.7,yes
124,Sherman Douglas,81,30.5,14.3,5.7,11.6,49.4,0.1,0.4,16.1,2.8,4,68.7,0.9,1.7,2.5,7.6,1.8,0.1,3,yes
125,Sam Mitchell,80,30.2,12.7,4.7,10.4,44.6,0,0.1,0,3.4,4.4,76.8,2.3,3.5,5.8,1.1,0.8,0.7,1.2,yes
127,Glen Rice,77,30,13.6,6.1,13.9,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,1.8,0.9,0.3,1.5,no
128,Mookie Blaylock,50,25.3,10.1,4.2,11.4,37.1,0.4,1.6,22.5,1.3,1.6,77.8,0.8,2,2.8,4.2,1.6,0.3,2.2,yes
129,Sean Elliott,81,25.1,10,3.8,8,48.1,0,0.1,11.1,2.3,2.7,86.6,1.6,2.1,3.7,1.9,0.6,0.2,1.4,yes
130,Blue Edwards,82,23,8.9,3.5,6.9,50.7,0.1,0.4,30,1.8,2.5,71.9,0.8,2.2,3.1,1.8,0.9,0.4,1.9,yes
131,Cory Jefferson,50,10.6,3.7,1.5,3.3,44.9,0,0.3,13.3,0.6,1.1,57.4,0.9,2,2.9,0.3,0.2,0.4,0.4,no
132,Nick Anderson,81,22,11.5,4.6,9.3,49.4,0,0.2,5.9,2.3,3.3,70.5,1.3,2.6,3.9,1.5,0.8,0.4,1.7,yes
133,Stacey King,82,21.7,8.9,3.3,6.5,50.4,0,0,0,2.4,3.3,72.7,2.1,2.6,4.7,1.1,0.5,0.7,1.4,yes
134,Dana Barros,81,20.1,9.7,3.7,9.1,40.5,1.2,2.9,39.9,1.1,1.4,80.9,0.4,1.2,1.6,2.5,0.7,0,1.5,yes
135,Jeff Martin,69,19.6,6.3,2.5,6,41.1,0,0.2,13.3,1.3,1.9,70.5,1.1,1.2,2.3,0.6,0.6,0.2,0.7,no
136,Clifford Robinson,82,19.1,9.1,3.6,9.2,39.7,0.1,0.5,27.3,1.7,3.1,55,1.3,2.4,3.8,0.9,0.7,0.7,1.6,yes
137,Winston Bennett,55,18,6.1,2.5,5.2,47.9,0,0,0,1.2,1.7,66.7,1.5,1.9,3.4,1,0.4,0.2,1.1,no
138,Chucky Brown,75,17.9,7.3,2.8,6,47,0,0.1,0,1.7,2.2,76.2,1.1,2,3.1,0.7,0.4,0.3,0.9,yes
139,Michael Ansley,-1,17,8.7,3.2,6.5,49.7,0,0,0,2.3,3.2,72.2,2.6,2.4,5,0.6,0.3,0.2,0.7,no
140,Todd Lichti,79,16.8,8,3.2,6.5,48.6,0,0.2,0,1.6,2.2,74.7,0.6,1.3,1.9,1.5,0.7,0.2,1.2,yes
141,Noah Vonleh,25,10.4,3.3,1.2,3,39.5,0.2,0.5,38.5,0.7,1,69.2,1.1,2.3,3.4,0.2,0.2,0.4,0.4,no
142,B.J. Armstrong,81,15.9,5.6,2.3,4.8,48.5,0,0.1,50,0.9,1,88.5,0.2,1,1.3,2.5,0.6,0.1,1,yes
143,Terry Davis,63,14,4.7,1.9,4.2,46.6,0,0,0,0.9,1.4,62.1,1.5,2.2,3.6,0.4,0.4,0.4,1.1,yes
144,Shawn Kemp,81,13.8,6.5,2.5,5.2,47.9,0,0.1,16.7,1.4,2,73.6,1.8,2.5,4.3,0.3,0.6,0.9,1.3,yes
145,Tom Hammonds,61,13.2,5.3,2.1,4.8,43.7,0,0,0,1,1.6,64.3,1,1.8,2.8,0.8,0.2,0.2,0.8,yes
146,Scott Haffner,43,13,4.6,2,5,40.6,0.1,0.5,14.3,0.4,0.6,68,0.2,1,1.2,1.9,0.3,0.1,0.8,no
147,Randy White,55,12.9,4.3,1.7,4.6,36.9,0,0.3,7.1,0.9,1.6,56.2,1.4,1.7,3.1,0.4,0.4,0.1,0.8,yes
148,Kenny Battle,59,12.4,4.1,1.6,2.9,54.7,0,0.1,25,0.9,1.4,67.1,0.7,1.4,2.1,0.6,0.6,0.2,0.5,no
149,Donald Royal,66,11.3,5.9,1.8,3.9,45.9,0,0,0,2.3,3,77.7,1,1,2.1,0.7,0.5,0.1,1.2,yes
150,Michael Carter-Williams,70,34.5,16.7,6.1,15.1,40.5,0.8,3,26.4,3.7,5.2,70.3,1.4,4.8,6.2,6.3,1.9,0.6,3.5,no
151,Delaney Rudd,77,11,3.5,1.4,3.4,42.9,0.2,0.7,28.6,0.5,0.7,66,0.2,0.6,0.7,2.3,0.3,0,1.1,no
152,John Morton,37,10.9,3.9,1.3,4.4,29.8,0.2,0.8,23.3,1.2,1.7,69.4,0.2,0.7,0.9,1.8,0.5,0.1,1.4,no
153,Greg Grant,67,10.1,3.1,1.2,3.2,38.4,0,0.2,18.8,0.6,0.9,66.1,0.2,0.6,0.9,2.5,0.5,0,1.1,yes
154,Doug Roth,42,9.8,1.9,0.9,2,43,0,0,0,0.2,0.3,50,1,1.8,2.9,0.5,0.2,0.3,0.4,no
155,Byron Irvin,50,9.8,5.2,1.9,4.1,47.3,0.1,0.3,35.7,1.2,1.8,67,0.6,0.9,1.5,0.9,0.6,0,0.8,no
156,Michael Smith,65,9.5,5,2.1,4.4,47.6,0,0.4,7.1,0.8,1,82.8,0.6,0.9,1.5,1.2,0.1,0,0.8,no
157,Michael Smith,65,9.5,5,2.1,4.4,47.6,0,0.4,7.1,0.8,1,82.8,0.6,0.9,1.5,1.2,0.1,0,0.8,yes
158,Michael Smith,82,21.2,6.9,2.7,5,54.2,0,0,0,1.5,3.2,48.5,2.1,3.8,5.9,0.8,0.7,0.6,1.3,no
159,Michael Smith,82,21.2,6.9,2.7,5,54.2,0,0,0,1.5,3.2,48.5,2.1,3.8,5.9,0.8,0.7,0.6,1.3,yes
160,George McCloud,44,9.4,2.7,1,3.3,31.3,0.3,0.9,32.5,0.3,0.4,78.9,0.3,0.7,1,1,0.4,0.1,0.8,yes
161,Henry Turner,36,8.8,4.3,1.6,3.4,47.5,0,0.1,0,1.1,1.8,61.5,0.6,0.8,1.4,0.6,0.5,0.2,0.7,no
162,Charles Smith,60,8.7,2.9,1,2.2,44.4,0,0.1,0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,yes
163,Charles Smith,60,8.7,2.9,1,2.2,44.4,0,0.1,0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,yes
164,Charles Smith,60,8.7,2.9,1,2.2,44.4,0,0.1,0,0.9,1.3,69.7,0.2,0.9,1.2,1.7,0.6,0.1,0.6,no
165,Charles Smith,71,30.4,16.3,6.1,12.4,49.5,0,0,0,4,5.5,72.5,2.4,4.1,6.5,1.5,1,1.3,2.1,yes
166,Charles Smith,71,30.4,16.3,6.1,12.4,49.5,0,0,0,4,5.5,72.5,2.4,4.1,6.5,1.5,1,1.3,2.1,yes
167,Charles Smith,71,30.4,16.3,6.1,12.4,49.5,0,0,0,4,5.5,72.5,2.4,4.1,6.5,1.5,1,1.3,2.1,no
168,Charles Smith,34,8.6,3.5,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.6,0.3,0.2,0.8,yes
169,Charles Smith,34,8.6,3.5,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.6,0.3,0.2,0.8,yes
170,Charles Smith,34,8.6,3.5,1.4,3.7,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.6,0.3,0.2,0.8,no
171,Ed Horton,45,8.3,4.5,1.8,3.6,49.4,0,0.1,0,0.9,1.5,60.9,1.3,1.1,2.4,0.4,0.2,0.1,0.9,no
172,Trey Burke,70,32.3,12.8,4.9,12.8,38,1.6,4.8,33,1.5,1.6,90.3,0.5,2.4,3,5.7,0.6,0.1,1.9,no
173,Frank Kornet,57,7.7,2,0.7,2,36.8,0.1,0.4,25,0.4,0.7,61.5,0.4,0.8,1.2,0.4,0.3,0.1,0.4,no
174,Doug West,52,7.3,2.6,1,2.6,39.3,0.1,0.2,27.3,0.5,0.6,81.3,0.5,0.9,1.3,0.3,0.2,0.1,0.6,yes
